id,Specific Hashtags,Underlying Hashtags,Comments,"Positive, Negative, & Neutral Scores",User Engagement Sentiment Score
1,#EthnicWear,#DiwaliFashion,"Absolutely stunning! , Your Diwali outfit is a showstopper!, This Diwali look is pure elegance., The traditional vibes are on point!, Loving the festive glam in your fashion., Your Diwali style is goals!, Wow! Diwali never looked so good., The colors you chose are perfect for the occasion., Your fashion sense is a celebration itself!, The detailing in your outfit is exquisite., This Diwali, you're the style icon!, Nice Diwali ensemble!, A balanced mix of tradition and trend., It's good, but I expected a bit more flair., Not feeling the Diwali vibes from this one.","[0.4914, 0.0, 0.4767, 0.0, 0.7845, 0.0, 0.8331, 0.5719, 0.0, 0.0, 0.0, 0.0, 0.4753, 0.0, 0.4404, 0.0, -0.0951]",0.234
2,#EthnicWear,#FestiveWear,Your festive wear is absolutely dazzling! The colors in your outfit bring out the joy of the festivities. Festive vibes on point! Loving your choice of wear. A nice blend of tradition and modernity in your festive attire. Your festive wear has a unique charm to it. Not sure about the color combination in this festive wear. Expected a bit more flair in your choice of festive attire.,"[0.5093, 0.7845, 0.8016, 0.7003, 0.6908, 0.3691, 0.4588]",0.6163
3,#EthnicWear,#EthnicElegance,Your ethnic elegance is truly enchanting! The grace and poise in your ethnic wear are commendable. Elegance personified! Your ethnic outfit is stunning. A subtle touch of ethnic elegance in your attire. Your choice of ethnic wear has a classic appeal. Not feeling the vibe of this ethnic elegance. Expected a bit more sophistication in your ethnic attire.,"[0.7424, 0.4215, 0.7177, 0.4767, 0.0, 0.4078, 0.0]",0.3952
4,#EthnicWear,#TraditionalVibes,You're radiating traditional vibes with your outfit! The traditional elements in your attire are a beautiful nod to our culture. Loving the traditional vibes you're bringing to the celebration. A nice infusion of traditional vibes into your look. Traditional vibes with a touch of modernity - interesting choice! The traditional vibes are lost in this outfit. Expected a bit more authenticity in your traditional wear.,"[0.0, 0.5994, 0.5994, 0.4215, 0.4574, -0.3182, 0.0]",0.2514
5,#EthnicWear,#DiwaliStyle,Your Diwali style is a perfect blend of tradition and trend! The festive spirit is alive in your Diwali style. Wow! Your Diwali style is making a statement. A unique take on Diwali fashion! Your Diwali style has a contemporary touch. Expected a bit more traditional touch in your Diwali style. Not sure about this Diwali style choice.,"[0.6114, 0.743, 0.6239, 0.0, 0.0, -0.2411]",0.2895
6,#EthnicWear,#FestiveFashion,Festive fashion at its finest! You look amazing. Your festive fashion sense is setting the trend. Loving the festive glamour in your fashion. Festive and fashionable - a good combination. Your festive fashion has a modern twist. Expected a bit more sophistication in your festive fashion. Not feeling the festive vibes from this fashion choice.,"[0.5093, 0.5859, 0.4588, 0.8834, 0.7096, 0.4588, 0.4588, -0.431]",0.4542
7,#EthnicWear,#IndianWear,Your Indian wear is a stunning reflection of our rich cultural heritage! The elegance in your Indian wear is truly captivating. A nice blend of tradition and modernity in your attire. The colors in your Indian wear are vibrant and eye-catching. Expected a bit more flair in your choice of Indian wear.,"[0.7574, 0.7184, 0.4215, 0.5267, 0.0]",0.4848
8,#EthnicWear,#DiwaliOutfit,Wow! Your Diwali outfit is absolutely mesmerizing. The festive spirit shines through in your Diwali attire. A unique and stylish choice for your Diwali celebration. Your Diwali outfit has a perfect blend of tradition and trend. Not sure about the color combination in this Diwali outfit.,"[0.6239, 0.5719, 0.0, 0.5719, -0.2411]",0.3053
9,#EthnicWear,#CelebrationAttire,Your celebration attire exudes joy and happiness! The choice of attire for the celebration is spot on. A perfect balance of style and comfort in your celebration attire. Your celebration attire is making a statement - love it! Expected a bit more uniqueness in your choice of celebration attire.,"[0.8268, 0.0, 0.7351, 0.6696, 0.0]",0.4463
10,#EthnicWear,#DiwaliDress,Your Diwali dress is a vision of beauty and grace. The detailing in your Diwali dress is exquisite. A classic and timeless choice for your Diwali celebration. Your Diwali dress captures the essence of the festival perfectly. Not feeling the vibe of this particular Diwali dress.,"[0.8225, 0.0, 0.0, 0.8126, -0.0951]",0.308
11,#EthnicWear,#FestivalFashion,Festive fashion at its finest! You look absolutely stunning. Your festival fashion sense is setting trends and inspiring. The festive glamour in your fashion is on point. A great fusion of tradition and modernity in your festival fashion. Expected a bit more sophistication in your choice of festival fashion.,"[0.5093, 0.4391, 0.7184, 0.7506, 0.8074, 0.4939]",0.6198
